21-May-20 23:16:51 - Verifier time taken is: 0.8108999999763 ms
21-May-20 23:16:51 - Prover time taken is: 2.6419000000146298 ms
21-May-20 23:16:51 - Total time taken is: 3.45279999999093 ms
21-May-20 23:16:53 - Verifier time taken is: 0.8156000000099084 ms
21-May-20 23:16:53 - Prover time taken is: 1.7358000000058382 ms
21-May-20 23:16:53 - Total time taken is: 2.5514000000157466 ms
21-May-20 23:16:55 - Verifier time taken is: 0.7835999999770138 ms
21-May-20 23:16:55 - Prover time taken is: 1.71690000001945 ms
21-May-20 23:16:55 - Total time taken is: 2.500499999996464 ms
21-May-20 23:16:57 - Verifier time taken is: 0.6933999999887419 ms
21-May-20 23:16:57 - Prover time taken is: 1.8336000000545027 ms
21-May-20 23:16:57 - Total time taken is: 2.5270000000432447 ms
21-May-20 23:16:59 - Verifier time taken is: 0.6608999999571097 ms
21-May-20 23:16:59 - Prover time taken is: 1.8059000000221204 ms
21-May-20 23:16:59 - Total time taken is: 2.46679999997923 ms
21-May-20 23:17:01 - Verifier time taken is: 0.9471000000189633 ms
21-May-20 23:17:01 - Prover time taken is: 2.5564999999687643 ms
21-May-20 23:17:01 - Total time taken is: 3.5035999999877276 ms
21-May-20 23:17:03 - Verifier time taken is: 1.0002999999869644 ms
21-May-20 23:17:03 - Prover time taken is: 1.6871999999921172 ms
21-May-20 23:17:03 - Total time taken is: 2.6874999999790816 ms
21-May-20 23:17:05 - Verifier time taken is: 0.5931000000032327 ms
21-May-20 23:17:05 - Prover time taken is: 2.599999999972624 ms
21-May-20 23:17:05 - Total time taken is: 3.193099999975857 ms
21-May-20 23:17:07 - Verifier time taken is: 0.7724999999823012 ms
21-May-20 23:17:07 - Prover time taken is: 1.8422999999643253 ms
21-May-20 23:17:07 - Total time taken is: 2.6147999999466265 ms
21-May-20 23:17:09 - Verifier time taken is: 0.4716999999914151 ms
21-May-20 23:17:09 - Prover time taken is: 1.8597999999769854 ms
21-May-20 23:17:09 - Total time taken is: 2.3314999999684005 ms
21-May-20 23:17:11 - Verifier time taken is: 1.021700000023884 ms
21-May-20 23:17:11 - Prover time taken is: 2.082699999959914 ms
21-May-20 23:17:11 - Total time taken is: 3.104399999983798 ms
21-May-20 23:17:13 - Verifier time taken is: 0.6649000000038541 ms
21-May-20 23:17:13 - Prover time taken is: 1.6976999999656073 ms
21-May-20 23:17:13 - Total time taken is: 2.3625999999694614 ms
21-May-20 23:17:15 - Verifier time taken is: 0.8495000000152686 ms
21-May-20 23:17:15 - Prover time taken is: 2.491999999961081 ms
21-May-20 23:17:15 - Total time taken is: 3.3414999999763495 ms
21-May-20 23:17:17 - Verifier time taken is: 0.6857999999851927 ms
21-May-20 23:17:17 - Prover time taken is: 1.8823000000338652 ms
21-May-20 23:17:17 - Total time taken is: 2.568100000019058 ms
21-May-20 23:17:20 - Verifier time taken is: 0.7717999999954372 ms
21-May-20 23:17:20 - Prover time taken is: 2.131299999973635 ms
21-May-20 23:17:20 - Total time taken is: 2.903099999969072 ms
21-May-20 23:17:22 - Verifier time taken is: 0.9251000000176646 ms
21-May-20 23:17:22 - Prover time taken is: 2.907199999981458 ms
21-May-20 23:17:22 - Total time taken is: 3.8322999999991225 ms
21-May-20 23:17:24 - Verifier time taken is: 0.5731999999625259 ms
21-May-20 23:17:24 - Prover time taken is: 1.7406999999707296 ms
21-May-20 23:17:24 - Total time taken is: 2.3138999999332555 ms
21-May-20 23:17:26 - Verifier time taken is: 0.4243000000201391 ms
21-May-20 23:17:26 - Prover time taken is: 1.6794000000004417 ms
21-May-20 23:17:26 - Total time taken is: 2.1037000000205808 ms
21-May-20 23:17:28 - Verifier time taken is: 0.846400000000358 ms
21-May-20 23:17:28 - Prover time taken is: 1.9158999999717707 ms
21-May-20 23:17:28 - Total time taken is: 2.7622999999721287 ms
21-May-20 23:17:30 - Verifier time taken is: 0.5365999999753512 ms
21-May-20 23:17:30 - Prover time taken is: 1.7512999999667045 ms
21-May-20 23:17:30 - Total time taken is: 2.2878999999420557 ms
21-May-20 23:17:32 - Verifier time taken is: 0.571100000001934 ms
21-May-20 23:17:32 - Prover time taken is: 1.7957000000023982 ms
21-May-20 23:17:32 - Total time taken is: 2.366800000004332 ms
21-May-20 23:17:34 - Verifier time taken is: 0.895000000014079 ms
21-May-20 23:17:34 - Prover time taken is: 4.2567000000417465 ms
21-May-20 23:17:34 - Total time taken is: 5.1517000000558255 ms
21-May-20 23:17:36 - Verifier time taken is: 0.7704999999873507 ms
21-May-20 23:17:36 - Prover time taken is: 1.8976000000066051 ms
21-May-20 23:17:36 - Total time taken is: 2.668099999993956 ms
21-May-20 23:17:38 - Verifier time taken is: 0.6969000000367487 ms
21-May-20 23:17:38 - Prover time taken is: 2.5533999999538537 ms
21-May-20 23:17:38 - Total time taken is: 3.2502999999906024 ms
21-May-20 23:17:40 - Verifier time taken is: 0.6883000000357242 ms
21-May-20 23:17:40 - Prover time taken is: 3.305099999977301 ms
21-May-20 23:17:40 - Total time taken is: 3.9934000000130254 ms
21-May-20 23:17:42 - Verifier time taken is: 0.7755999999972119 ms
21-May-20 23:17:42 - Prover time taken is: 1.7622999999957756 ms
21-May-20 23:17:42 - Total time taken is: 2.5378999999929874 ms
21-May-20 23:17:44 - Verifier time taken is: 1.0465999999951237 ms
21-May-20 23:17:44 - Prover time taken is: 1.6196000000263666 ms
21-May-20 23:17:44 - Total time taken is: 2.6662000000214903 ms
21-May-20 23:17:46 - Verifier time taken is: 0.7711999999742147 ms
21-May-20 23:17:46 - Prover time taken is: 1.6493999999624975 ms
21-May-20 23:17:46 - Total time taken is: 2.4205999999367123 ms
21-May-20 23:17:48 - Verifier time taken is: 0.5759000000011838 ms
21-May-20 23:17:48 - Prover time taken is: 1.5715999999770247 ms
21-May-20 23:17:48 - Total time taken is: 2.1474999999782085 ms
21-May-20 23:17:50 - Decryption problem
