21-May-20 23:13:15 - Prover time taken is: 2.9029000000093674 ms
21-May-20 23:13:15 - Total time taken is: 3.6316000000056192 ms
21-May-20 23:13:17 - Verifier time taken is: 0.7419000000083997 ms
21-May-20 23:13:17 - Prover time taken is: 2.6092999999889344 ms
21-May-20 23:13:17 - Total time taken is: 3.351199999997334 ms
21-May-20 23:13:19 - Verifier time taken is: 0.9028000000057546 ms
21-May-20 23:13:19 - Prover time taken is: 2.010699999999588 ms
21-May-20 23:13:19 - Total time taken is: 2.9135000000053424 ms
21-May-20 23:13:21 - Verifier time taken is: 0.5153999999976122 ms
21-May-20 23:13:21 - Prover time taken is: 1.9722999999913782 ms
21-May-20 23:13:21 - Total time taken is: 2.4876999999889904 ms
21-May-20 23:13:23 - Verifier time taken is: 0.6008999999949083 ms
21-May-20 23:13:23 - Prover time taken is: 2.015700000001175 ms
21-May-20 23:13:23 - Total time taken is: 2.616599999996083 ms
21-May-20 23:13:25 - Verifier time taken is: 0.4847000000012258 ms
21-May-20 23:13:25 - Prover time taken is: 2.0834000000036212 ms
21-May-20 23:13:25 - Total time taken is: 2.568100000004847 ms
21-May-20 23:13:27 - Verifier time taken is: 0.9490000000056398 ms
21-May-20 23:13:27 - Prover time taken is: 2.270500000008724 ms
21-May-20 23:13:27 - Total time taken is: 3.2195000000143636 ms
21-May-20 23:13:29 - Verifier time taken is: 0.5943000000030452 ms
21-May-20 23:13:29 - Prover time taken is: 1.8527999999946587 ms
21-May-20 23:13:29 - Total time taken is: 2.447099999997704 ms
21-May-20 23:13:31 - Verifier time taken is: 0.42600000000447835 ms
21-May-20 23:13:31 - Prover time taken is: 1.5602000000001226 ms
21-May-20 23:13:31 - Total time taken is: 1.986200000004601 ms
21-May-20 23:13:33 - Verifier time taken is: 0.4828000000003385 ms
21-May-20 23:13:33 - Prover time taken is: 1.928599999999392 ms
21-May-20 23:13:33 - Total time taken is: 2.4113999999997304 ms
21-May-20 23:13:35 - Verifier time taken is: 0.8173000000084585 ms
21-May-20 23:13:35 - Prover time taken is: 4.458800000008978 ms
21-May-20 23:13:35 - Total time taken is: 5.276100000017436 ms
21-May-20 23:13:37 - Verifier time taken is: 0.5604999999917482 ms
